id,index,mask_area_results,circle_area_results,curvature_results,decimalLatitude,decimalLongitude,genus,specificEpithet,pr_cat_id,count_gt_thresh,ind_max_iou,max_mask_iou
NSW:NSW:NSW 319010,1,6.060141,2.311979,1.015782,-30.5,151.62,Eucalyptus,viminalis,0,0,-1,0
NSW:NSW:NSW 266486,4,6.093473,2.444377,1.029616,-34.27,117.67,Eucalyptus,marginata,0,0,-1,0
NSW:NSW:NSW 355720,0,5.991919,1.281123,1.039419,-30.88,149.7,Angophora,leiocarpa,0,0,-1,0
NSW:NSW:NSW 266486,0,17.38765,4.596469,1.075056,-34.27,117.67,Eucalyptus,marginata,0,0,-1,0
NSW:NSW:NSW 355830,3,3.701724,0.7893199,1.060379,-29.18,147.87,Angophora,melanoxylon,0,0,-1,0
NSW:NSW:NSW 301297,2,11.64668,1.19704,1.204399,-31.13,144.62,Eucalyptus,coolabah subsp. coolabah x intertexta,0,0,-1,0
NSW:NSW:NSW 312005,1,4.439641,1.279007,1.009662,-26.83,119.83,Corymbia,eremaea,0,0,-1,0
NSW:NSW:NSW 370653,7,2.326418,0.5084024,1.107761,-29.58,152.33,Eucalyptus,acaciiformis,0,0,-1,0
NSW:NSW:NSW 215325,2,1.165269,0.4288921,1.032334,-34.65,142.3333333,Eucalyptus,leptophylla,0,0,-1,0
NSW:NSW:NSW 500253,14,3.549536,0.3979257,1.600839,-27.7383333,152.1069444,Eucalyptus,bakeri,0,0,-1,0
NSW:NSW:NSW 303568,1,4.385625,1.058197,1.102006,-34.08,151.02,Corymbia,gummifera,0,0,-1,0
NSW:NSW:NSW 312015,1,9.490883,2.698297,1.073183,-24.63,132.22,Corymbia,chippendalei,0,0,-1,0
NSW:NSW:NSW 316385,4,23.69149,6.618654,1.141942,-37.07,143.58,Eucalyptus,nortonii,0,0,-1,0
NSW:NSW:NSW 355830,16,2.073168,0.362936,1.044723,-29.18,147.87,Angophora,melanoxylon,0,0,-1,0
NSW:NSW:NSW 256744,2,5.263001,1.046631,1.177712,-32.7169444,150.9694444,Eucalyptus,fergusonii,0,0,-1,0
NSW:NSW:NSW 355720,6,5.811299,1.217562,1.039226,-30.88,149.7,Angophora,leiocarpa,0,0,-1,0
NSW:NSW:NSW 355830,6,5.476523,1.357623,1.062619,-29.18,147.87,Angophora,melanoxylon,0,0,-1,0
NSW:NSW:NSW 355692,4,4.632869,0.5736996,1.042104,-31.4,148.92,Angophora,floribunda,0,0,-1,0
NSW:NSW:NSW 311893,1,7.605059,6.861255,1.006058,-37.43,145.72,Eucalyptus,ovata,0,0,-1,0
NSW:NSW:NSW 316385,5,3.651931,1.358871,1.041839,-37.07,143.58,Eucalyptus,nortonii,0,0,-1,0
NSW:NSW:NSW 312005,0,5.504935,0.7544554,1.262701,-26.83,119.83,Corymbia,eremaea,0,0,-1,0
NSW:NSW:NSW 355720,9,11.42453,1.520047,1.436778,-30.88,149.7,Angophora,leiocarpa,0,0,-1,0
NSW:NSW:NSW 300848,5,9.60283,2.540071,1.152761,-13.47,132.28,Eucalyptus,tectifica,0,0,-1,0
NSW:NSW:NSW 500253,9,4.503005,0.8232519,1.057583,-27.7383333,152.1069444,Eucalyptus,bakeri,0,0,-1,0
NSW:NSW:NSW 143556,0,3.761295,1.408868,1.05921,-33.7,151.1,Angophora,costata,0,0,-1,0
NSW:NSW:NSW 355795,12,17.72388,6.460106,1.029115,-24.08,149.38,Angophora,floribunda,0,0,-1,0
NSW:NSW:NSW 266486,1,10.43066,3.731308,1.089973,-34.27,117.67,Eucalyptus,marginata,0,0,-1,0
NSW:NSW:NSW 843037,0,8.832298,3.798056,1.015476,-27.5386,152.8583,Corymbia,intermedia,0,0,-1,0
NSW:NSW:NSW 303568,0,4.339502,1.296001,1.05467,-34.08,151.02,Corymbia,gummifera,0,0,-1,0
NSW:NSW:NSW 344498,2,7.688902,1.337893,1.34671,-30.92,121.2,Eucalyptus,campaspe,0,0,-1,0
NSW:NSW:NSW 355830,7,5.312958,1.566566,1.104074,-29.18,147.87,Angophora,melanoxylon,0,0,-1,0
NSW:NSW:NSW 355830,24,0.9871906,0.2241841,1.040607,-29.18,147.87,Angophora,melanoxylon,0,0,-1,0
NSW:NSW:NSW 500253,0,5.466929,0.8860792,1.069996,-27.7383333,152.1069444,Eucalyptus,bakeri,0,0,-1,0
NSW:NSW:NSW 355795,10,7.423045,2.854607,1.073022,-24.08,149.38,Angophora,floribunda,0,0,-1,0
NSW:NSW:NSW 200470,6,5.345162,1.378652,1.181968,-33.4,122.4,Eucalyptus,quadrans,0,0,-1,0
NSW:NSW:NSW 355830,2,3.893291,0.8861761,1.174769,-29.18,147.87,Angophora,melanoxylon,0,0,-1,0
NSW:NSW:NSW 355795,13,11.48855,4.172985,1.014331,-24.08,149.38,Angophora,floribunda,0,0,-1,0
NSW:NSW:NSW 352968,4,3.557982,1.002932,1.058609,-33.82,119.8,Eucalyptus,leptocalyx,0,0,-1,0
NSW:NSW:NSW 215325,16,0.5797851,0.07840339,1.054061,-34.65,142.3333333,Eucalyptus,leptophylla,0,0,-1,0
NSW:NSW:NSW 312005,2,9.939451,1.339953,1.181244,-26.83,119.83,Corymbia,eremaea,0,0,-1,0
NSW:NSW:NSW 500253,15,2.612016,0.4590938,1.016085,-27.7383333,152.1069444,Eucalyptus,bakeri,0,0,-1,0
NSW:NSW:NSW 355830,23,0.725413,0.4964742,1.091587,-29.18,147.87,Angophora,melanoxylon,0,0,-1,0
NSW:NSW:NSW 305034,1,61.93549,23.34612,1.03983,-17.38,123.92,Corymbia,cadophora,0,0,-1,0
NSW:NSW:NSW 355715,0,2.91182,0.3275912,1.370963,-30.15,149.93,Angophora,leiocarpa,0,0,-1,0
NSW:NSW:NSW 355795,14,6.687546,2.20296,1.037024,-24.08,149.38,Angophora,floribunda,0,0,-1,0
NSW:NSW:NSW 355795,11,12.10833,2.898303,1.224897,-24.08,149.38,Angophora,floribunda,0,0,-1,0
NSW:NSW:NSW 496208,2,16.92346,6.682939,1.157796,-32.9266667,151.4175,Eucalyptus,longifolia,0,0,-1,0
NSW:NSW:NSW 355737,6,4.626166,0.8346555,1.322577,-30.35,149.85,Angophora,leiocarpa,0,0,-1,0
NSW:NSW:NSW 317087,6,11.31781,4.075221,1.077635,-34.78,150.05,Eucalyptus,cinerea,0,0,-1,0
NSW:NSW:NSW 355830,25,2.246019,0.5795745,1.123493,-29.18,147.87,Angophora,melanoxylon,0,0,-1,0
NSW:NSW:NSW 154311,1,13.10501,6.329276,1.006812,-30.15,116.08,Eucalyptus,drummondii subsp. drummondii x macrocarpa,0,0,-1,0
NSW:NSW:NSW 500253,7,3.919387,0.7708734,1.140689,-27.7383333,152.1069444,Eucalyptus,bakeri,0,0,-1,0
NSW:NSW:NSW 355692,2,7.111577,2.201723,1.020114,-31.4,148.92,Angophora,floribunda,0,0,-1,0
NSW:NSW:NSW 256744,5,15.80573,5.780651,1.028812,-32.7169444,150.9694444,Eucalyptus,fergusonii,0,0,-1,0
NSW:NSW:NSW 355720,7,7.162374,1.152374,1.077547,-30.88,149.7,Angophora,leiocarpa,0,0,-1,0
NSW:NSW:NSW 301297,1,8.168178,1.115017,1.202248,-31.13,144.62,Eucalyptus,coolabah subsp. coolabah x intertexta,0,0,-1,0
NSW:NSW:NSW 355715,3,3.203485,0.4333822,1.058104,-30.15,149.93,Angophora,leiocarpa,0,0,-1,0
