"","id","decimalLatitude","decimalLongitude","scientificName","rank"
"1","NSW:NSW:NSW 301790",-18.23,142.38,"Corymbia gilbertensis",1
"2","NSW:NSW:NSW 303369",-21.08,148.43,"Corymbia intermedia",2
"3","NSW:NSW:NSW 302551",-34.2,150.57,"Corymbia eximia",3
"4","NSW:NSW:NSW 843525",-24.1717,149.6583,"Corymbia trachyphloia",4
"5","NSW:NSW:NSW 302506",-20.08,146.27,"Corymbia erythrophloia",5
