Species name,Measurement location,Count,Mean,S.D.,u,v,Type
Eucalyptus macrandra,"Pasadena, CA, USA",96,41.85,24.94,1.2,1.04,Uniform
Eucalyptus macrocarpa,"Mt. Annan, NSW, AU",12,60.6,14.52,2.43,5.01,Erectophile
Eucalyptus mannifera,"Canberra, ACT, AU",84,66.25,18.48,0.95,2.66,Erectophile
Eucalyptus michaeliana,"Canberra, ACT, AU",81,76.59,10.45,1.25,7.16,Erectophile
Eucalyptus microtheca,"Pasadena, CA, USA",84,77.79,10.08,1.13,7.22,Erectophile
Eucalyptus nitida,"Kew, GB",83,72.93,19.02,0.46,1.98,Erectophile
Eucalyptus morrisbyi,"Canberra, ACT, AU",78,58.85,24.54,0.71,1.34,Spherical
Eucalyptus neglecta,"Kew, GB",80,72.09,20.45,0.42,1.67,Erectophile
Eucalyptus nicholii,"Canberra, ACT, AU",88,69.57,19.72,0.6,2.05,Erectophile
Eucalyptus nicholii SF,"San Francisco, CA, USA",89,72.99,19.19,0.45,1.92,Erectophile
Eucalyptus oleosa Pasadena,"Pasadena, CA, USA",84,46.45,25.63,1.01,1.07,Uniform
Eucalyptus oleosa Jerusalem,"Jerusalem, IL",100,48.19,25.18,1.01,1.17,Uniform
Eucalyptus parramattensis,"Mt. Annan, NSW, AU",80,74.87,17.13,0.48,2.38,Erectophile
Eucalyptus parvula Kew,"Kew, GB",100,70.04,16.36,0.94,3.29,Erectophile
Eucalyptus parvula Canberra,"Canberra, ACT, AU",100,52.15,22.53,1.21,1.67,Spherical
Eucalyptus perriniana,"Kew, GB",78,79.75,12.38,0.49,3.84,Erectophile
Eucalyptus petiolaris,"Jerusalem, IL",56,38.54,22.82,1.61,1.2,Uniform
Eucalyptus pleurocarpa,"Mt. Annan, NSW, AU",76,68.87,21.47,0.51,1.65,Erectophile
Eucalyptus porosa,"Jerusalem, IL",91,68.18,19.07,0.75,2.34,Erectophile
Eucalyptus pulchella Kew,"Kew, GB",100,67.4,17.68,0.97,2.9,Erectophile
Eucalyptus pulchella Melbourne,"Melbourne, VIC, AU",91,49.93,21.23,1.53,1.91,Spherical
Eucalyptus pulverulenta,"Melbourne, VIC, AU",58,76.94,10.82,1.1,6.49,Erectophile
Eucalyptus raveretiana,"Mt. Annan, NSW, AU",78,71.18,17.35,0.72,2.73,Erectophile
Eucalyptus robusta,"Pasadena, CA, USA",98,49.83,18.64,2.13,2.64,Plagiophile
Eucalyptus rodwayi,"Kew, GB",43,63.61,21.89,0.73,1.77,Erectophile
Eucalyptus scoparia MtAnnan,"Mt. Annan, NSW, AU",77,72,19.71,0.47,1.87,Erectophile
Eucalyptus scoparia Canberra,"Canberra, ACT, AU",77,71.13,16.1,0.88,3.3,Erectophile
Eucalyptus scoparia Canberra 2,"Canberra, ACT, AU",79,78.35,10.81,0.88,5.93,Erectophile
Eucalyptus shirleyi,"Pasadena, CA, USA",100,48.66,21.12,1.61,1.9,Uniform
Eucalyptus sideroxylon,"Hobart, TAS, AU",68,64,18.89,1.06,2.6,Erectophile
Eucalyptus stellulata,"Mt. Tobah, NSW, AU",80,77.52,12.83,0.68,4.2,Erectophile
Eucalyptus stoatei,"Pasadena, CA, USA",86,42.43,25.24,1.15,1.02,Uniform
Eucalyptus stricta,"Canberra, ACT, AU",86,40.42,24.04,1.36,1.11,Uniform
Eucalyptus subcrenulata,"Kew, GB",80,56.85,25.14,0.73,1.25,Spherical
Eucalyptus tereticornis,"Mt. Annan, NSW, AU",120,70.62,17.29,0.77,2.81,Erectophile
Eucalyptus tricarpa,"Canberra, ACT, AU",80,64.09,22.36,0.67,1.65,Erectophile
Eucalyptus urnigera,"Kew, GB",80,64.85,22.35,0.63,1.63,Erectophile
Eucalyptus viridis,"Jerusalem, IL",75,42.19,25.85,1.07,0.95,Uniform
