"","T0","T2.86","T5.72","T8.57","T11.43","T14.29","T17.15","T20.01","T22.86","T25.72","T28.58","T31.44","T34.3","T37.16","T40.01","T42.87","T45.73","T48.59","T51.45","T54.3"
"311","Eucalyptus redunca","i25","i13","i13","i14","i15","i14","i11","i10","i11","i11","i10","i9","i9","i6","i6","i6","i5","i4","i3"
"312","Eucalyptus utilis","i25","i13","i13","i14","i15","i14","i11","i10","i11","i11","i10","i9","i9","i6","i6","i6","i5","i4","i3"
"313","Eucalyptus carnei","i25","i13","i13","i14","i15","i14","i11","i10","i11","i11","i10","i9","i9","i6","i6","i6","i5","i4","i3"
"314","Eucalyptus trivalvis","i25","i13","i13","i14","i15","i14","i11","i10","i11","i11","i10","i9","i9","i6","i6","i6","i5","i4","i3"
"315","Eucalyptus stricklandii","i25","i13","i13","i14","i15","i14","i11","i10","i11","i11","i10","i9","i9","i6","i6","i6","i5","i4","i3"
"316","Eucalyptus grossa","i25","i13","i13","i14","i15","i14","i11","i10","i11","i11","i10","i9","i9","i6","i6","i6","i5","i4","i3"
"317","Eucalyptus accedens","i25","i13","i13","i14","i15","i14","i11","i10","i11","i11","i10","i9","i9","i6","i6","i6","i5","i4","i3"
"318","Eucalyptus stowardii","i25","i13","i13","i14","i15","i14","i11","i10","i11","i11","i10","i9","i9","i6","i6","i6","i5","i4","i3"
"319","Eucalyptus tumida","i25","i13","i13","i14","i15","i14","i11","i10","i11","i11","i10","i9","i9","i6","i6","i6","i5","i4","i3"
"320","Eucalyptus salubris","i25","i13","i13","i14","i15","i14","i11","i10","i11","i11","i10","i9","i9","i6","i6","i6","i5","i4","i3"
"321","Eucalyptus campaspe","i25","i13","i13","i14","i15","i14","i11","i10","i11","i11","i10","i9","i9","i6","i6","i6","i5","i4","i3"
"322","Eucalyptus diptera","i25","i13","i13","i14","i15","i14","i11","i10","i11","i11","i10","i9","i9","i6","i6","i6","i5","i4","i3"
"323","Eucalyptus ravida","i25","i13","i13","i14","i15","i14","i11","i10","i11","i11","i10","i9","i9","i6","i6","i6","i5","i4","i3"
"324","Eucalyptus livida","i25","i13","i13","i14","i15","i14","i11","i10","i11","i11","i10","i9","i9","i6","i6","i6","i5","i4","i3"
"325","Eucalyptus cyclostoma","i25","i13","i13","i14","i15","i14","i11","i10","i11","i11","i10","i9","i9","i6","i6","i6","i5","i4","i3"
"326","Eucalyptus medialis","i25","i13","i13","i14","i15","i14","i11","i10","i11","i11","i10","i9","i9","i6","i6","i6","i5","i4","i3"
"327","Eucalyptus clivicola","i25","i13","i13","i14","i15","i14","i11","i10","i11","i11","i10","i9","i9","i6","i6","i6","i5","i4","i3"
