id,index,QC,mask_area_results,circle_area_results,curvature_results,decimalLatitude,decimalLongitude,genus,specificEpithet,pr_cat_id,count_gt_thresh,ind_max_iou,max_mask_iou
NSW:NSW:NSW 345962,3,Y,12.32319,2.932967,1.047646,-33.58,123.58,Eucalyptus,micranthera,0,0,-1,0
NSW:NSW:NSW 345962,4,N,5.519715,1.439811,1.067624,-33.58,123.58,Eucalyptus,micranthera,0,0,-1,0
NSW:NSW:NSW 345968,5,N,2.63518,0.4827076,1.139005,-35.72,137.95,Eucalyptus,cneorifolia,1,0,-1,0
NSW:NSW:NSW 389504,3,Y,13.69279,2.086688,1.269748,-32.87,151.3,Eucalyptus,siderophloia,1,0,-1,0
NSW:NSW:NSW 389504,7,N,5.919392,1.384488,1.048721,-32.87,151.3,Eucalyptus,siderophloia,1,0,-1,0
NSW:NSW:NSW 389712,1,Y,8.388137,1.207791,1.09926,-10.245,142.225,Corymbia,stockeri,0,0,-1,0
NSW:NSW:NSW 389712,2,Y,25.24272,6.867407,1.074212,-10.245,142.225,Corymbia,stockeri,1,0,-1,0
NSW:NSW:NSW 389712,3,N,5.004544,2.18863,1.20993,-10.245,142.225,Corymbia,stockeri,1,0,-1,0
NSW:NSW:NSW 389712,4,N,4.86154,1.056174,1.07455,-10.245,142.225,Corymbia,stockeri,1,0,-1,0
NSW:NSW:NSW 389713,1,Y,21.3771,3.632452,1.433791,-10.245,142.225,Corymbia,stockeri,1,0,-1,0
NSW:NSW:NSW 389719,0,Y,30.22396,7.168882,1.353429,-37.05,142.13,Eucalyptus,obliqua,1,0,-1,0
NSW:NSW:NSW 389719,1,Y,14.32065,2.333603,1.098495,-37.05,142.13,Eucalyptus,obliqua,0,0,-1,0
NSW:NSW:NSW 389719,2,N,13.56402,5.014261,1.057214,-37.05,142.13,Eucalyptus,obliqua,1,0,-1,0
NSW:NSW:NSW 389719,3,Y,24.74858,5.193635,1.163061,-37.05,142.13,Eucalyptus,obliqua,1,0,-1,0
NSW:NSW:NSW 389720,0,Y,18.16634,2.471575,1.396075,-10.5916667,142.275,Corymbia,novoguinensis,1,0,-1,0
NSW:NSW:NSW 389720,1,N,15.61146,3.322229,1.141592,-10.5916667,142.275,Corymbia,novoguinensis,1,0,-1,0
NSW:NSW:NSW 995811,0,Y,13.58669,1.960514,2.170026,-37.07,149.9,Eucalyptus,cypellocarpa,1,0,-1,0
NSW:NSW:NSW 995811,2,N,6.297586,0.8267706,1.128151,-37.07,149.9,Eucalyptus,cypellocarpa,1,0,-1,0
NSW:NSW:NSW 995813,0,N,15.11383,3.507245,1.441612,-37.07,149.9,Eucalyptus,bosistoana,1,0,-1,0
NSW:NSW:NSW 995813,1,Y,6.613543,1.266396,1.033674,-37.07,149.9,Eucalyptus,bosistoana,1,0,-1,0
NSW:NSW:NSW 995813,3,Y,6.567768,1.108864,1.315723,-37.07,149.9,Eucalyptus,bosistoana,1,0,-1,0
NSW:NSW:NSW 995830,0,Y,9.945806,2.364513,1.059505,-37.07,149.9,Eucalyptus,muelleriana,1,0,-1,0
NSW:NSW:NSW 995830,2,Y,10.2713,2.681968,1.015969,-37.07,149.9,Eucalyptus,muelleriana,0,0,-1,0
NSW:NSW:NSW 995830,3,Y,5.202199,0.938843,1.121012,-37.07,149.9,Eucalyptus,muelleriana,1,0,-1,0
NSW:NSW:NSW 995830,4,N,6.731518,1.503346,1.123783,-37.07,149.9,Eucalyptus,muelleriana,1,0,-1,0
NSW:NSW:NSW 995830,5,Y,8.439365,1.476323,1.051686,-37.07,149.9,Eucalyptus,muelleriana,1,0,-1,0
NSW:NSW:NSW 995830,6,Y,9.753481,2.212531,1.036358,-37.07,149.9,Eucalyptus,muelleriana,1,0,-1,0
NSW:NSW:NSW 995830,7,Y,24.16236,5.105624,1.148161,-37.07,149.9,Eucalyptus,muelleriana,1,0,-1,0
NSW:NSW:NSW 995830,8,N,16.93572,8.104774,1.120521,-37.07,149.9,Eucalyptus,muelleriana,0,0,-1,0
NSW:NSW:NSW 995830,9,N,7.294944,1.853821,1.066155,-37.07,149.9,Eucalyptus,muelleriana,0,0,-1,0
