ID,Site number,Site name,Reference,Genus species,Family,Order,Name_orig,TaxonGroup,woody_non-woody,Growth form,DecidEver (woody only),Compound_Simple,Leaf size (cm2),Whole leaf size (cm2),Country,Latitude,Longitude,Elevation (m),MAT,Tgs,TCM,TCMgs,TWM,MAP,PPTgs,cvPPT,MIann,MIgs,ETq,ETqgs,RADann,RADgs,RHann,RHgs
38,537,Royer_HB,Royer et al 2005 Am J Bot,Tilia americana,Malvaceae,Malvales,Tilia americana,angio,woody,Tree,D,S,98.98,98.98,United States,43.900,-71.750,618,5.60,14.28,-9.01,7.39,18.99,1310.00,555.00,45.73,1.39,0.75,944.05,740.53,164.97,108.08,71.24,73.35
41,537,Royer_HB,Royer et al 2005 Am J Bot,Vaccinium fuscatum,Ericaceae,Ericales,Vaccinium fuscatum (atrococcum),angio,woody,Shrub,D,S,11.37,11.37,United States,43.900,-71.750,618,5.60,14.28,-9.01,7.39,18.99,1310.00,555.00,45.73,1.39,0.75,944.05,740.53,164.97,108.08,71.24,73.35
44,530,Royer_ANF,Royer et al 2005 Am J Bot,Acer pensylvanicum,Sapindaceae,Sapindales,Acer pennsylvanicum,angio,woody,Tree,D,S,135.5,135.5,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
45,530,Royer_ANF,Royer et al 2005 Am J Bot,Acer rubrum,Sapindaceae,Sapindales,Acer rubrum,angio,woody,Tree,D,S,49.3,49.3,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
46,530,Royer_ANF,Royer et al 2005 Am J Bot,Acer saccharum,Sapindaceae,Sapindales,Acer saccharum,angio,woody,Tree,D,S,47.8,47.8,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
47,530,Royer_ANF,Royer et al 2005 Am J Bot,Acer spicatum,Sapindaceae,Sapindales,Acer spicatum,angio,woody,Tree,D,S,55.1,55.1,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
48,530,Royer_ANF,Royer et al 2005 Am J Bot,Amelanchier laevis,Rosaceae,Rosales,Amelanchier laevis,angio,woody,Tree,D,S,24.4,24.4,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
49,530,Royer_ANF,Royer et al 2005 Am J Bot,Betula lenta,Betulaceae,Fagales,Betula lenta,angio,woody,Tree,D,S,49,49,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
50,530,Royer_ANF,Royer et al 2005 Am J Bot,Carpinus caroliniana,Betulaceae,Fagales,Carpinus caroliniana,angio,woody,Tree,D,S,26.3,26.3,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
51,530,Royer_ANF,Royer et al 2005 Am J Bot,Carya ovata,Juglandaceae,Fagales,Carya ovata,angio,woody,Tree,D,C,12.2,,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
52,530,Royer_ANF,Royer et al 2005 Am J Bot,Clematis virginiana,Ranunculaceae,Ranunculales,Clematis virginiana,angio,woody,Liana,D,C,47.8,,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
53,530,Royer_ANF,Royer et al 2005 Am J Bot,Comptonia peregrina,Myricaceae,Fagales,Comptonia peregrina,angio,woody,Shrub,D,S,5.5,5.5,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
54,530,Royer_ANF,Royer et al 2005 Am J Bot,Cornus amomum,Cornaceae,Cornales,Cornus amomum,angio,woody,Shrub,D,S,11.5,11.5,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
55,530,Royer_ANF,Royer et al 2005 Am J Bot,Crataegus sp55,Rosaceae,Rosales,Crataegus sp,angio,woody,Tree,D,S,20.8,20.8,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
56,530,Royer_ANF,Royer et al 2005 Am J Bot,Dirca palustris,Thymelaeaceae,Malvales,Dirca palustris,angio,woody,Shrub,D,S,35.8,35.8,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
57,530,Royer_ANF,Royer et al 2005 Am J Bot,Fagus grandifolia,Fagaceae,Fagales,Fagus grandifolia,angio,woody,Tree,D,S,47.5,47.5,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
58,530,Royer_ANF,Royer et al 2005 Am J Bot,Fraxinus americana,Oleaceae,Lamiales,Fraxinus americana,angio,woody,Tree,D,C,23.4,,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
59,530,Royer_ANF,Royer et al 2005 Am J Bot,Hamamelis virginiana,Hamamelidaceae,Saxifragales,Hamamelis virginiana,angio,woody,Shrub,D,S,26.4,26.4,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
60,530,Royer_ANF,Royer et al 2005 Am J Bot,Kalmia latifolia,Ericaceae,Ericales,Kalmia latifolia,angio,woody,Tree,E,S,16.9,16.9,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
61,530,Royer_ANF,Royer et al 2005 Am J Bot,Liriodendron tulipifera,Magnoliaceae,Magnoliales,Liriodendron tulipifera,angio,woody,Tree,D,S,79.1,79.1,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
62,530,Royer_ANF,Royer et al 2005 Am J Bot,Magnolia acuminata,Magnoliaceae,Magnoliales,Magnolia acuminata,angio,woody,Tree,D,S,264.3,264.3,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
63,530,Royer_ANF,Royer et al 2005 Am J Bot,Ostrya virginiana,Betulaceae,Fagales,Ostrya virginiana,angio,woody,Tree,D,S,13.5,13.5,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
64,530,Royer_ANF,Royer et al 2005 Am J Bot,Populus grandidentata,Salicaceae,Malpighiales,Populus grandidentata,angio,woody,Tree,D,S,47,47,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
65,530,Royer_ANF,Royer et al 2005 Am J Bot,Populus tremuloides,Salicaceae,Malpighiales,Populus tremuloides,angio,woody,Tree,D,S,20.9,20.9,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
66,530,Royer_ANF,Royer et al 2005 Am J Bot,Prunus serotina,Rosaceae,Rosales,Prunus serotina,angio,woody,Tree,D,S,12.9,12.9,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
67,530,Royer_ANF,Royer et al 2005 Am J Bot,Prunus virginiana,Rosaceae,Rosales,Prunus virginiana,angio,woody,Shrub,D,S,9.3,9.3,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
68,530,Royer_ANF,Royer et al 2005 Am J Bot,Quercus alba,Fagaceae,Fagales,Quercus alba,angio,woody,Tree,D,S,39.1,39.1,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
69,530,Royer_ANF,Royer et al 2005 Am J Bot,Quercus michauxii,Fagaceae,Fagales,Quercus prinus,angio,woody,Tree,D,S,61,61,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
70,530,Royer_ANF,Royer et al 2005 Am J Bot,Quercus rubra,Fagaceae,Fagales,Quercus rubra,angio,woody,Tree,D,S,50.2,50.2,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
71,530,Royer_ANF,Royer et al 2005 Am J Bot,Rhododendron maximum,Ericaceae,Ericales,Rhododendron maximum,angio,woody,Tree,E,S,56.1,56.1,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
72,530,Royer_ANF,Royer et al 2005 Am J Bot,Rhus typhina,Anacardiaceae,Sapindales,Rhus typhina,angio,woody,Tree,D,C,25.1,,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
73,530,Royer_ANF,Royer et al 2005 Am J Bot,Rubus allegheniensis,Rosaceae,Rosales,Rubus allegheniensis,angio,woody,Shrub,D,C,12.3,,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
74,530,Royer_ANF,Royer et al 2005 Am J Bot,Rubus idaeus,Rosaceae,Rosales,Rubus idaeus,angio,woody,Shrub,D,C,17.8,,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
75,530,Royer_ANF,Royer et al 2005 Am J Bot,Rubus occidentalis,Rosaceae,Rosales,Rubus occidentalis,angio,woody,Shrub,D,C,8.1,,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
76,530,Royer_ANF,Royer et al 2005 Am J Bot,Salix discolor,Salicaceae,Malpighiales,Salix discolor,angio,woody,Tree,D,S,21,21,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
77,530,Royer_ANF,Royer et al 2005 Am J Bot,Salix eriocephala,Salicaceae,Malpighiales,Salix eriocephala,angio,woody,Shrub,D,S,19.8,19.8,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
78,530,Royer_ANF,Royer et al 2005 Am J Bot,Salix lucida,Salicaceae,Malpighiales,Salix lucida,angio,woody,Shrub,D,S,23.3,23.3,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
79,530,Royer_ANF,Royer et al 2005 Am J Bot,Salix nigra,Salicaceae,Malpighiales,Salix nigra,angio,woody,Tree,D,S,6.8,6.8,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
80,530,Royer_ANF,Royer et al 2005 Am J Bot,Salix sericea,Salicaceae,Malpighiales,Salix sericea,angio,woody,Shrub,D,S,8.7,8.7,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
81,530,Royer_ANF,Royer et al 2005 Am J Bot,Sambucus canadensis,Adoxaceae,Dipsacales,Sambucus canadensis,angio,woody,Shrub,D,C,9.1,,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
82,530,Royer_ANF,Royer et al 2005 Am J Bot,Sambucus pubens,Adoxaceae,Dipsacales,Sambucus pubens,angio,woody,Shrub,D,C,45.9,,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
83,530,Royer_ANF,Royer et al 2005 Am J Bot,Sassafras albidum,Lauraceae,Laurales,Sassafras albidum,angio,woody,Tree,D,S,128.9,128.9,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
84,530,Royer_ANF,Royer et al 2005 Am J Bot,Tilia americana,Malvaceae,Malvales,Tilia americana,angio,woody,Tree,D,S,286.8,286.8,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
85,530,Royer_ANF,Royer et al 2005 Am J Bot,Ulmus americana,Ulmaceae,Rosales,Ulmus americana,angio,woody,Tree,D,S,57,57,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
86,530,Royer_ANF,Royer et al 2005 Am J Bot,Ulmus rubra,Ulmaceae,Rosales,Ulmus rubra,angio,woody,Tree,D,S,63.8,63.8,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
87,530,Royer_ANF,Royer et al 2005 Am J Bot,Vaccinium angustifolium,Ericaceae,Ericales,Vaccinium angustifolium,angio,woody,Shrub,D,S,2.7,2.7,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
88,530,Royer_ANF,Royer et al 2005 Am J Bot,Vaccinium myrtilloides,Ericaceae,Ericales,Vaccinium myrtilloides,angio,woody,Shrub,D,S,2.8,2.8,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
89,530,Royer_ANF,Royer et al 2005 Am J Bot,Viburnum cassinoides,Adoxaceae,Dipsacales,Viburnum cassinoides,angio,woody,Shrub,D,S,26.9,26.9,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
90,530,Royer_ANF,Royer et al 2005 Am J Bot,Viburnum recognitum,Adoxaceae,Dipsacales,Viburnum recognitum,angio,woody,Shrub,D,S,20.2,20.2,United States,41.630,-71.751,590,7.00,13.28,-5.33,5.48,19.18,1140.00,749.00,52.23,0.99,0.77,1154.72,967.51,185.70,136.14,67.84,69.41
91,538,Royer_HF,Royer et al 2005 Am J Bot,Acer pensylvanicum,Sapindaceae,Sapindales,Acer pensylvanicum,angio,woody,Tree,D,S,75.87,75.87,United States,42.495,-74.138,300,7.20,14.33,-7.02,6.58,20.28,1070.00,673.00,48.21,1.03,0.76,1033.94,891.35,175.00,131.28,69.37,69.31
95,538,Royer_HF,Royer et al 2005 Am J Bot,Acer rubrum,Sapindaceae,Sapindales,Acer rubrum,angio,woody,Tree,D,S,29.69,29.69,United States,42.495,-74.138,300,7.20,14.33,-7.02,6.58,20.28,1070.00,673.00,48.21,1.03,0.76,1033.94,891.35,175.00,131.28,69.37,69.31
101,538,Royer_HF,Royer et al 2005 Am J Bot,Acer saccharum,Sapindaceae,Sapindales,Acer saccharum,angio,woody,Tree,D,S,33.09,33.09,United States,42.495,-74.138,300,7.20,14.33,-7.02,6.58,20.28,1070.00,673.00,48.21,1.03,0.76,1033.94,891.35,175.00,131.28,69.37,69.31
105,538,Royer_HF,Royer et al 2005 Am J Bot,Amelanchier laevis,Rosaceae,Rosales,Amelanchier laevis,angio,woody,Tree,D,S,18.88,18.88,United States,42.495,-74.138,300,7.20,14.33,-7.02,6.58,20.28,1070.00,673.00,48.21,1.03,0.76,1033.94,891.35,175.00,131.28,69.37,69.31
111,538,Royer_HF,Royer et al 2005 Am J Bot,Aronia arbutifolia,Rosaceae,Rosales,Aronia arbutifolia,angio,woody,Tree,D,S,13.81,13.81,United States,42.495,-74.138,300,7.20,14.33,-7.02,6.58,20.28,1070.00,673.00,48.21,1.03,0.76,1033.94,891.35,175.00,131.28,69.37,69.31
117,538,Royer_HF,Royer et al 2005 Am J Bot,Betula alleghaniensis,Betulaceae,Fagales,Betula alleghaniensis (lutea),angio,woody,Tree,D,S,30.12,30.12,United States,42.495,-74.138,300,7.20,14.33,-7.02,6.58,20.28,1070.00,673.00,48.21,1.03,0.76,1033.94,891.35,175.00,131.28,69.37,69.31
123,538,Royer_HF,Royer et al 2005 Am J Bot,Betula lenta,Betulaceae,Fagales,Betula lenta,angio,woody,Tree,D,S,26.61,26.61,United States,42.495,-74.138,300,7.20,14.33,-7.02,6.58,20.28,1070.00,673.00,48.21,1.03,0.76,1033.94,891.35,175.00,131.28,69.37,69.31
129,538,Royer_HF,Royer et al 2005 Am J Bot,Betula papyrifera,Betulaceae,Fagales,Betula papyrifera,angio,woody,Tree,D,S,36.05,36.05,United States,42.495,-74.138,300,7.20,14.33,-7.02,6.58,20.28,1070.00,673.00,48.21,1.03,0.76,1033.94,891.35,175.00,131.28,69.37,69.31
135,538,Royer_HF,Royer et al 2005 Am J Bot,Betula populifolia,Betulaceae,Fagales,Betula populifolia,angio,woody,Tree,D,S,28.07,28.07,United States,42.495,-74.138,300,7.20,14.33,-7.02,6.58,20.28,1070.00,673.00,48.21,1.03,0.76,1033.94,891.35,175.00,131.28,69.37,69.31
139,538,Royer_HF,Royer et al 2005 Am J Bot,Castanea dentata,Fagaceae,Fagales,Castanea dentata,angio,woody,Tree,D,S,87.73,87.73,United States,42.495,-74.138,300,7.20,14.33,-7.02,6.58,20.28,1070.00,673.00,48.21,1.03,0.76,1033.94,891.35,175.00,131.28,69.37,69.31
144,538,Royer_HF,Royer et al 2005 Am J Bot,Crataegus sp144,Rosaceae,Rosales,Crataegus sp,angio,woody,Tree,D,S,8.97,8.97,United States,42.495,-74.138,300,7.20,14.33,-7.02,6.58,20.28,1070.00,673.00,48.21,1.03,0.76,1033.94,891.35,175.00,131.28,69.37,69.31
147,538,Royer_HF,Royer et al 2005 Am J Bot,Fagus grandifolia,Fagaceae,Fagales,Fagus grandifolia,angio,woody,Tree,D,S,57.61,57.61,United States,42.495,-74.138,300,7.20,14.33,-7.02,6.58,20.28,1070.00,673.00,48.21,1.03,0.76,1033.94,891.35,175.00,131.28,69.37,69.31
153,538,Royer_HF,Royer et al 2005 Am J Bot,Fraxinus americana,Oleaceae,Lamiales,Fraxinus americana,angio,woody,Tree,D,C,41.15,,United States,42.495,-74.138,300,7.20,14.33,-7.02,6.58,20.28,1070.00,673.00,48.21,1.03,0.76,1033.94,891.35,175.00,131.28,69.37,69.31
159,538,Royer_HF,Royer et al 2005 Am J Bot,Hamamelis virginiana,Hamamelidaceae,Saxifragales,Hamamelis virginiana,angio,woody,Shrub,D,S,44.16,44.16,United States,42.495,-74.138,300,7.20,14.33,-7.02,6.58,20.28,1070.00,673.00,48.21,1.03,0.76,1033.94,891.35,175.00,131.28,69.37,69.31
161,538,Royer_HF,Royer et al 2005 Am J Bot,Ilex verticillata,Aquifoliaceae,Aquifoliales,Ilex verticillata,angio,woody,Shrub,D,S,10.32,10.32,United States,42.495,-74.138,300,7.20,14.33,-7.02,6.58,20.28,1070.00,673.00,48.21,1.03,0.76,1033.94,891.35,175.00,131.28,69.37,69.31
167,538,Royer_HF,Royer et al 2005 Am J Bot,Kalmia latifolia,Ericaceae,Ericales,Kalmia latifolia,angio,woody,Tree,E,S,11.87,11.87,United States,42.495,-74.138,300,7.20,14.33,-7.02,6.58,20.28,1070.00,673.00,48.21,1.03,0.76,1033.94,891.35,175.00,131.28,69.37,69.31
173,538,Royer_HF,Royer et al 2005 Am J Bot,Lyonia ligustrina,Ericaceae,Ericales,Lyonia ligustrina,angio,woody,Shrub,D,S,15.26,15.26,United States,42.495,-74.138,300,7.20,14.33,-7.02,6.58,20.28,1070.00,673.00,48.21,1.03,0.76,1033.94,891.35,175.00,131.28,69.37,69.31
179,538,Royer_HF,Royer et al 2005 Am J Bot,Nemopanthus mucronatus,Aquifoliaceae,Aquifoliales,Nemopanthus mucronatus,angio,woody,Shrub,D,S,5.27,5.27,United States,42.495,-74.138,300,7.20,14.33,-7.02,6.58,20.28,1070.00,673.00,48.21,1.03,0.76,1033.94,891.35,175.00,131.28,69.37,69.31
185,538,Royer_HF,Royer et al 2005 Am J Bot,Nyssa sylvatica,Nyssaceae,Cornales,Nyssa sylvatica,angio,woody,Tree,D,S,20.5,20.5,United States,42.495,-74.138,300,7.20,14.33,-7.02,6.58,20.28,1070.00,673.00,48.21,1.03,0.76,1033.94,891.35,175.00,131.28,69.37,69.31
191,538,Royer_HF,Royer et al 2005 Am J Bot,Populus grandidentata,Salicaceae,Malpighiales,Populus grandidentata,angio,woody,Tree,D,S,43.29,43.29,United States,42.495,-74.138,300,7.20,14.33,-7.02,6.58,20.28,1070.00,673.00,48.21,1.03,0.76,1033.94,891.35,175.00,131.28,69.37,69.31
197,538,Royer_HF,Royer et al 2005 Am J Bot,Populus tremuloides,Salicaceae,Malpighiales,Populus tremuloides,angio,woody,Tree,D,S,30.7,30.7,United States,42.495,-74.138,300,7.20,14.33,-7.02,6.58,20.28,1070.00,673.00,48.21,1.03,0.76,1033.94,891.35,175.00,131.28,69.37,69.31
203,538,Royer_HF,Royer et al 2005 Am J Bot,Prunus serotina,Rosaceae,Rosales,Prunus serotina,angio,woody,Tree,D,S,22.99,22.99,United States,42.495,-74.138,300,7.20,14.33,-7.02,6.58,20.28,1070.00,673.00,48.21,1.03,0.76,1033.94,891.35,175.00,131.28,69.37,69.31
