ID,Site number,Site name,Reference,Genus species,Family,Order,Name_orig,TaxonGroup,woody_non-woody,Growth form,DecidEver (woody only),Compound_Simple,Leaf size (cm2),Whole leaf size (cm2),Country,Latitude,Longitude,Elevation (m),MAT,Tgs,TCM,TCMgs,TWM,MAP,PPTgs,cvPPT,MIann,MIgs,ETq,ETqgs,RADann,RADgs,RHann,RHgs
1,537,Royer_HB,Royer et al 2005 Am J Bot,Acer pensylvanicum,Sapindaceae,Sapindales,Acer pensylvanicum,angio,woody,Tree,D,S,69.49,69.49,United States,43.900,-71.750,618,5.60,14.28,-9.01,7.39,18.99,1310.00,555.00,45.73,1.39,0.75,944.05,740.53,164.97,108.08,71.24,73.35
4,537,Royer_HB,Royer et al 2005 Am J Bot,Acer rubrum,Sapindaceae,Sapindales,Acer rubrum,angio,woody,Tree,D,S,62.65,62.65,United States,43.900,-71.750,618,5.60,14.28,-9.01,7.39,18.99,1310.00,555.00,45.73,1.39,0.75,944.05,740.53,164.97,108.08,71.24,73.35
5,537,Royer_HB,Royer et al 2005 Am J Bot,Acer saccharum,Sapindaceae,Sapindales,Acer saccharum,angio,woody,Tree,D,S,37.05,37.05,United States,43.900,-71.750,618,5.60,14.28,-9.01,7.39,18.99,1310.00,555.00,45.73,1.39,0.75,944.05,740.53,164.97,108.08,71.24,73.35
8,537,Royer_HB,Royer et al 2005 Am J Bot,Betula alleghaniensis,Betulaceae,Fagales,Betula alleghaniensis (lutea),angio,woody,Tree,D,S,39.54,39.54,United States,43.900,-71.750,618,5.60,14.28,-9.01,7.39,18.99,1310.00,555.00,45.73,1.39,0.75,944.05,740.53,164.97,108.08,71.24,73.35
11,537,Royer_HB,Royer et al 2005 Am J Bot,Betula papyrifera,Betulaceae,Fagales,Betula papyrifera,angio,woody,Tree,D,S,28.09,28.09,United States,43.900,-71.750,618,5.60,14.28,-9.01,7.39,18.99,1310.00,555.00,45.73,1.39,0.75,944.05,740.53,164.97,108.08,71.24,73.35
14,537,Royer_HB,Royer et al 2005 Am J Bot,Fagus grandifolia,Fagaceae,Fagales,Fagus grandifolia,angio,woody,Tree,D,S,54.56,54.56,United States,43.900,-71.750,618,5.60,14.28,-9.01,7.39,18.99,1310.00,555.00,45.73,1.39,0.75,944.05,740.53,164.97,108.08,71.24,73.35
17,537,Royer_HB,Royer et al 2005 Am J Bot,Fraxinus americana,Oleaceae,Lamiales,Fraxinus americana,angio,woody,Tree,D,C,18.26,,United States,43.900,-71.750,618,5.60,14.28,-9.01,7.39,18.99,1310.00,555.00,45.73,1.39,0.75,944.05,740.53,164.97,108.08,71.24,73.35
20,537,Royer_HB,Royer et al 2005 Am J Bot,Hamamelis virginiana,Hamamelidaceae,Saxifragales,Hamamelis virginiana,angio,woody,Shrub,D,S,61.74,61.74,United States,43.900,-71.750,618,5.60,14.28,-9.01,7.39,18.99,1310.00,555.00,45.73,1.39,0.75,944.05,740.53,164.97,108.08,71.24,73.35
23,537,Royer_HB,Royer et al 2005 Am J Bot,Ilex verticillata,Aquifoliaceae,Aquifoliales,Ilex verticillata,angio,woody,Shrub,D,S,6.93,6.93,United States,43.900,-71.750,618,5.60,14.28,-9.01,7.39,18.99,1310.00,555.00,45.73,1.39,0.75,944.05,740.53,164.97,108.08,71.24,73.35
26,537,Royer_HB,Royer et al 2005 Am J Bot,Populus grandidentata,Salicaceae,Malpighiales,Populus grandidentata,angio,woody,Tree,D,S,25.74,25.74,United States,43.900,-71.750,618,5.60,14.28,-9.01,7.39,18.99,1310.00,555.00,45.73,1.39,0.75,944.05,740.53,164.97,108.08,71.24,73.35
29,537,Royer_HB,Royer et al 2005 Am J Bot,Populus tremuloides,Salicaceae,Malpighiales,Populus tremuloides,angio,woody,Tree,D,S,14.73,14.73,United States,43.900,-71.750,618,5.60,14.28,-9.01,7.39,18.99,1310.00,555.00,45.73,1.39,0.75,944.05,740.53,164.97,108.08,71.24,73.35
32,537,Royer_HB,Royer et al 2005 Am J Bot,Prunus pensylvanica,Rosaceae,Rosales,Prunus pensylvanica,angio,woody,Shrub,D,S,16.92,16.92,United States,43.900,-71.750,618,5.60,14.28,-9.01,7.39,18.99,1310.00,555.00,45.73,1.39,0.75,944.05,740.53,164.97,108.08,71.24,73.35
35,537,Royer_HB,Royer et al 2005 Am J Bot,Quercus rubra,Fagaceae,Fagales,Quercus rubra,angio,woody,Tree,D,S,55.42,55.42,United States,43.900,-71.750,618,5.60,14.28,-9.01,7.39,18.99,1310.00,555.00,45.73,1.39,0.75,944.05,740.53,164.97,108.08,71.24,73.35
